=== 表: 拓店信息登记表 ===
拓店信息登记表
走访日期 | 所属街道 | 附近小区 | 门店名称 | 门头照片 | 门店类型 | 联系人（法人） | 联系电话 | 微信号 | 详细地址（以营业执照上的地址为准） | 是否需要办理预包装备案 | 门店大致面积 | 合作意向 | 意向合作模式 | 主要顾虑/异议 | 备注
示例：2026/8/10 | 江南中街 | 可逸家园 | 林小小生鲜店 | =DISPIMG("ID_3E796CB6027C4C15BC83F1EC2F831365",1) | 林小小 | 需要，已上报总部线上办理
已有食品经营许可证/预包装备案 | 70㎡ | =DISPIMG("ID_B5CB919E023E49149A57761EECE91635",1) | =DISPIMG("ID_55AB50405BEE43C38A8B648E65D0F880",1) | =DISPIMG("ID_7F7F0EA586B54644B56E5CFA36901234",1)
=== 表: 拓店目标参考信息表 ===
街道等级 | 所属街道 | 核心依据 | 目标类型 | 目标评级 | 目标小区/门店 | 户数/门店类型 | 所属社区/参考地址
A+ | 江南中街道 | 江南西成熟老城，原生广府家庭密集，35 + 人群占比高；肉菜市场、社区生鲜、餐饮门店海量；大量社区团购团长；街坊日常煲汤需求极强。门店非常适合上线抖音来客做社区团购、短视频引流。 | 小区 | A+ | 可逸家园 | 590 | 青柳社区
江南西小区 | 3042+ | 紫龙/紫金社区
可逸名庭 | ≈738 | 青葵社区
杏园小区 | 1046 | 杏园社区
A | 江南大道中小区群 | 8180 | 万松园/得胜等
江南大道中后街小区 | 443 | 紫金社区
杏林小区 | ≈600—800 | 杏园社区
杏坛小区 | 912 | 杏园社区
紫山围院小区 | ≈500—600 | 青葵社区
润汇大厦 | ≈400—500 | 青葵社区
福良阁 | ≈300—400 | 紫金社区
南轩阁 | ≈400—500 | 紫龙社区
嘉银华庭 | ≈400—500 | 紫金社区
松园大厦 | ≈400—500 | 万松园社区
逸宜居 | ≈300—400 | 紫来社区
青凤大街小区 | 1441 | 青凤社区
万松园小区 | 1196 | 万松园社区
B | 江南西路散盘 | ≈9,000—10,000 | 青凤/青葵/紫金/紫龙
江南大道中散盘 | ≈7,000—8,000 | 南园东/南园西/聚龙
前进路散盘 | ≈2,000—3,000 | 万寿/聚龙/聚源
贵德东/得胜/复兴散盘 | ≈2,000—3,000 | 贵德东/得胜/复兴
江宝/紫来散盘 | ≈1,500—2,000 | 江宝/紫来
